rank,country,score
1,Iceland,1.095
2,Ireland,1.26
3,New Zealand,1.282
4,Austria,1.294
4,Switzerland,1.294
6,Singapore,1.357
7,Portugal,1.371
8,Denmark,1.393
9,Slovenia,1.409
10,Finland,1.42
11,Czechia,1.435
12,Japan,1.44
13,Malaysia,1.469
14,Canada,1.491
14,Netherlands,1.491
16,Belgium,1.492
17,Hungary,1.5
18,Australia,1.505
19,Croatia,1.519
20,Germany,1.533
21,Bhutan,1.536
22,Lithuania,1.558
22,Latvia,1.558
24,Estonia,1.559
25,Spain,1.578
26,Mauritius,1.586
27,Qatar,1.593
28,Slovakia,1.609
29,Bulgaria,1.61
30,United Kingdom,1.634
31,Kuwait,1.642
32,Norway,1.644
33,Italy,1.662
34,Montenegro,1.685
35,Sweden,1.709
36,Poland,1.713
37,Mongolia,1.719
38,Romania,1.721
38,Vietnam,1.721
40,Taiwan,1.73
41,South Korea,1.736
42,Oman,1.738
43,Botswana,1.743
44,Timor-Leste,1.758
45,Greece,1.764
46,Argentina,1.768
47,Laos,1.783
48,Uruguay,1.784
49,Indonesia,1.786
50,Namibia,1.789
51,North Macedonia,1.799
52,Albania,1.812
52,United Arab Emirates,1.812
54,Costa Rica,1.843
55,The Gambia,1.855
56,Kazakhstan,1.875
57,Sierra Leone,1.887
58,Armenia,1.893
59,Bosnia and Herzegovina,1.895
59,Madagascar,1.895
61,Ghana,1.898
62,Chile,1.899
63,Kosovo,1.908
64,Serbia,1.914
64,Zambia,1.914
66,Moldova,1.918
67,Uzbekistan,1.926
68,Cyprus,1.933
69,Senegal,1.936
70,Liberia,1.939
71,Malawi,1.955
72,Jordan,1.957
73,Tanzania,1.965
74,France,1.967
75,Paraguay,1.981
76,Angola,1.987
76,Nepal,1.987
78,Kyrgyz Republic,1.988
79,Dominican Republic,1.996
79,Tajikistan,1.996
81,Tunisia,1.998
82,Equatorial Guinea,2.004
83,Bolivia,2.005
84,Panama,2.006
85,Morocco,2.012
86,Thailand,2.017
87,Cambodia,2.019
87,Turkmenistan,2.019
89,Trinidad and Tobago,2.02
90,Saudi Arabia,2.035
91,Rwanda,2.036
92,Algeria,2.042
93,Jamaica,2.047
94,Cote d' Ivoire,2.066
95,Azerbaijan,2.067
96,Peru,2.073
97,Sri Lanka,2.075
98,China,2.093
99,Eswatini,2.094
100,Bahrain,2.099
101,Guinea-Bissau,2.112
102,Cuba,2.123
103,Republic of the Congo,2.132
104,El Salvador,2.136
105,Philippines,2.148
106,Guyana,2.149
107,Egypt,2.157
108,Guatemala,2.174
109,Georgia,2.185
110,Mauritania,2.204
111,Nicaragua,2.207
112,Benin,2.211
113,Uganda,2.217
114,Zimbabwe,2.223
115,India,2.229
116,Papua New Guinea,2.23
117,Gabon,2.238
118,Guinea,2.253
119,Belarus,2.267
119,Lesotho,2.267
121,Mozambique,2.273
122,Djibouti,2.276
123,Bangladesh,2.318
124,Honduras,2.347
124,South Africa,2.347
126,Togo,2.381
127,Kenya,2.392
128,United States of America,2.443
129,Ecuador,2.459
130,Brazil,2.472
131,Libya,2.478
132,Eritrea,2.542
133,Burundi,2.574
134,Chad,2.593
135,Mexico,2.636
136,Lebanon,2.674
137,Cameroon,2.683
138,Ethiopia,2.688
139,Venezuela,2.692
140,Colombia,2.695
141,Haiti,2.731
142,Iran,2.75
143,Niger,2.759
144,Pakistan,2.797
145,Palestine,2.811
146,Turkiye,2.852
147,Iraq,2.862
148,Nigeria,2.869
149,North Korea,2.911
150,Central African Republic,2.912
151,Somalia,2.983
152,Burkina Faso,3.016
153,Myanmar,3.045
154,Mali,3.061
155,Israel,3.108
156,South Sudan,3.117
157,Syria,3.184
158,Afghanistan,3.229
159,Yemen,3.262
160,Democratic Republic of the Congo,3.292
161,Sudan,3.323
162,Ukraine,3.434
163,Russia,3.441
